2018-04-04 14:44:55,343 INFO [Logger.py:49]  testing
2018-04-04 14:46:36,282 INFO [Logger.py:47]  解析参数数据: F:\study\interface\data\bmpObjQuery
2018-04-04 14:47:05,817 INFO [Logger.py:47]  解析参数数据: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 14:47:43,617 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 14:48:16,515 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 14:48:30,706 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 14:49:12,402 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 14:51:44,298 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 14:51:44,300 INFO [Logger.py:47]  获取参数：['<SqlQuery><Conditions><SC><SLT>0</SLT><PN>A.CLASS_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC><SC><SLT>0</SLT><PN>C.MAN_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC></Conditions><OrderString>ORDER BY A.CREATE_TIME DESC</OrderString><IsPageResult>1</IsPageResult><KeyId>A.OBJ_ID</KeyId><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy>ORDER BY A.CREATE_TIME DESC</OrderBy></PageInfo><QueryTable><TableName>BMP_OBJECT</TableName><AliasName>A</AliasName><JoinTables><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_ATTRIBCLASS</TableName><AliasName>B</AliasName></QueryTable><JoinCondition>A.CLASS_ID=B.CLASS_ID</JoinCondition></JoinTable><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName>C</AliasName></QueryTable><JoinCondition>A.NUM_VAL5=C.MAN_ID</JoinCondition></JoinTable></JoinTables></QueryTable><ResultFields>A.*,B.*,C.MAN_ID,C.MAN_NAME,C.FIELD_1 AS MODEL,(select group_concat(e.group_name) from BMP_OBJ2GROUP D left join bmp_objgroup E on D.GROUP_ID = E.GROUP_ID where D.OBJ_ID = a.obj_ID and e.group_type=1 ) as GROUP_NAME</ResultFields></SqlQuery>']
2018-04-04 14:52:46,138 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 14:52:46,140 INFO [Logger.py:47]  获取参数：['<SqlQuery><Conditions><SC><SLT>0</SLT><PN>A.CLASS_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC><SC><SLT>0</SLT><PN>C.MAN_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC></Conditions><OrderString>ORDER BY A.CREATE_TIME DESC</OrderString><IsPageResult>1</IsPageResult><KeyId>A.OBJ_ID</KeyId><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy>ORDER BY A.CREATE_TIME DESC</OrderBy></PageInfo><QueryTable><TableName>BMP_OBJECT</TableName><AliasName>A</AliasName><JoinTables><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_ATTRIBCLASS</TableName><AliasName>B</AliasName></QueryTable><JoinCondition>A.CLASS_ID=B.CLASS_ID</JoinCondition></JoinTable><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName>C</AliasName></QueryTable><JoinCondition>A.NUM_VAL5=C.MAN_ID</JoinCondition></JoinTable></JoinTables></QueryTable><ResultFields>A.*,B.*,C.MAN_ID,C.MAN_NAME,C.FIELD_1 AS MODEL,(select group_concat(e.group_name) from BMP_OBJ2GROUP D left join bmp_objgroup E on D.GROUP_ID = E.GROUP_ID where D.OBJ_ID = a.obj_ID and e.group_type=1 ) as GROUP_NAME</ResultFields></SqlQuery>']
2018-04-04 14:55:19,150 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery
2018-04-04 14:56:19,193 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery
2018-04-04 14:56:19,196 ERROR [Logger.py:53]  [Errno 2] No such file or directory: 'F:\\study\\interface\\data\\bmpObjQuery'
2018-04-04 14:57:06,329 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery
2018-04-04 14:57:06,331 ERROR [Logger.py:53]  [Errno 2] No such file or directory: 'F:\\study\\interface\\data\\bmpObjQuery'
2018-04-04 14:57:23,107 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery
2018-04-04 14:57:23,108 ERROR [Logger.py:53]  [Errno 2] No such file or directory: 'F:\\study\\interface\\data\\bmpObjQuery'
2018-04-04 14:58:35,967 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
