2018-04-12 10:07:24,629 ERROR [dataConnect.py:19]  (2003, "Can't connect to MySQL server on '172.17.1.208' (timed out)")
2018-04-12 10:11:11,125 ERROR [dataConnect.py:20]  (2003, "Can't connect to MySQL server on '172.17.1.208' (timed out)")
2018-04-12 10:11:11,125 WARNING [dataConnect.py:21]  数据库连接失败，程序终止运行！
2018-04-12 10:12:01,070 ERROR [dataConnect.py:20]  (2003, "Can't connect to MySQL server on '172.17.1.208' (timed out)")
2018-04-12 10:12:01,070 WARNING [dataConnect.py:21]  数据库连接失败，程序终止运行！
2018-04-12 10:19:43,568 INFO [Logger.py:43]  rer
2018-04-12 10:20:07,410 INFO [Logger.py:43]  rer
2018-04-12 10:20:26,327 INFO [Logger.py:43]  rer
2018-04-12 10:20:26,327 ERROR [Logger.py:44]  rer
2018-04-12 10:23:48,650 INFO [Logger.py:43]  test
2018-04-12 10:23:48,651 ERROR [Logger.py:44]  test
2018-04-12 10:25:23,718 INFO [Logger.py:45]  testing
2018-04-12 10:25:23,718 ERROR [Logger.py:46]  test111
2018-04-12 10:26:05,272 ERROR [dataConnect.py:20]  (2003, "Can't connect to MySQL server on '172.17.1.208' (timed out)")
2018-04-12 10:26:05,273 WARNING [dataConnect.py:21]  数据库连接失败，程序终止运行！
2018-04-12 10:28:03,976 INFO [Logger.py:45]  testing
2018-04-12 10:28:03,976 ERROR [Logger.py:46]  test111
2018-04-12 10:36:49,902 INFO [Logger.py:42]  test
2018-04-12 10:37:43,846 INFO [test.py:71]  test
2018-04-12 10:41:20,914 INFO [test_manufacturer.py:20]  start test manufacturer
2018-04-12 10:41:30,925 ERROR [dataConnect.py:20]  (2003, "Can't connect to MySQL server on '172.17.1.208' (timed out)")
2018-04-12 10:41:30,925 WARNING [dataConnect.py:21]  数据库连接失败，程序终止运行！
2018-04-12 11:09:33,982 INFO [test_manufacturer.py:20]  start test manufacturer
2018-04-12 11:09:34,160 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,160 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,190 INFO [dataConnect.py:118]  select count(1) from bmp_manufacturers where 1=1
2018-04-12 11:09:34,190 INFO [dataConnect.py:118]  select count(1) from bmp_manufacturers where 1=1
2018-04-12 11:09:34,190 INFO [dataConnect.py:118]  select count(1) from bmp_manufacturers where 1=1
2018-04-12 11:09:34,195 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 0,20
2018-04-12 11:09:34,195 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 0,20
2018-04-12 11:09:34,195 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 0,20
2018-04-12 11:09:34,205 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,205 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,205 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,209 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,209 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,209 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,209 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
